mb1n1,mb1n2,mb1n3,mb2n1,mb2n2,mb2n3,mb3n1,mb3n2,mb3n3,mb4n1,mb4n2,mb4n3,mccm21,mccm22,mccm23,dc1,dc2,dc3,cvm1,cvm2,cvm3,ks1,ks2,ks3
0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.03,1,1,1,1,1,1
0,0,0,0.05,0,0,0,0,0,0.04,0,0,0,0,0,0.13,0,0.03,1,1,1,1,1,1
0,0.51,0.19,0.4,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0.04,0.07,0,1,1,1,1,1,0
0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0.18,0,0,0,1,1,0,1,1
0,0,0,0.06,0,0,0,0,0,0,0,0,0.04,0,0,0.03,0,0,1,1,1,0,1,1
0.88,0,0.26,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0.05,1,1,1,1,1,1
0.46,0,0,0.18,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.04,0.01,1,1,1,1,1,1
0,0,0,0.08,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0.04,1,1,1,1,1,1
0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,1,0,0,1
0.4,0.7,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,1,1,1,1,1
0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.01,0,1,1,0,1,1
