0.25I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n=100     B=100,,,,,n=100  B=200,,,,,Naïve,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naïve,,,,,n=100     B=100,,,,,n=100  B=200,,,,,Naïve,,,,,n=200  B=100,,,,,n=200  B=200,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.020812327,-0.196458621,-0.167242753,-0.638564881,5.227950681,-0.352261089,-0.245631565,-0.241143867,-0.142717482,5.216009898,-0.199510965,-0.234071314,-0.230834824,-0.362784518,4.422850224,-0.16878179,-0.227432336,-0.276075408,-0.197021059,5.8955987,-0.182756329,-0.231174339,-0.287827145,-0.336000063,6.100906896,-0.151153812,-0.213049425,-0.17802101,-0.42446255,4.345158356,-0.007329648,-0.18242585,-0.153860135,-0.678106784,5.026825141,-0.335817257,-0.252231267,-0.21794508,-0.18570175,4.813514759,-0.150291557,-0.200403831,-0.20178288,-0.466799465,4.088493598,-0.184203355,-0.231340425,-0.279433473,-0.154772236,6.057624641,-0.171770849,-0.228771108,-0.278260704,-0.366082035,5.808792949,-0.081508049,-0.175640191,-0.142953356,-0.57404279,3.964074745
-0.291280073,-0.224212978,-0.308430504,-0.203060116,6.003688585,-0.207176516,-0.192096611,-0.2289006,-0.398035421,4.209082219,-0.281201567,-0.301098821,-0.251258633,-0.185182558,5.500117865,-0.239277138,-0.228312402,-0.268991886,-0.300479961,5.166392653,-0.320761004,-0.253963309,-0.311179821,-0.153602902,4.456145404,-0.305246842,-0.232052394,-0.241106533,-0.209574447,4.449137826,-0.306059841,-0.223582198,-0.322493747,-0.204723484,5.949119935,-0.180072505,-0.201143447,-0.199769603,-0.434088749,4.182786575,-0.230209371,-0.274809689,-0.227119652,-0.297525683,4.943170385,-0.265108427,-0.259074487,-0.273595994,-0.247392214,5.324856463,-0.340231078,-0.231746302,-0.331068669,-0.155745665,4.332684574,-0.245101646,-0.194085421,-0.206944033,-0.350052901,3.933140003
-0.246575643,-0.319991786,-0.176526667,-0.221445952,7.221605569,-0.238493812,-0.279172805,-0.297984897,-0.087772958,5.113708465,-0.188488221,-0.215701443,-0.253608344,-0.324191758,4.631097372,-0.16801892,-0.218184855,-0.192026482,-0.387937413,5.720126467,-0.168677836,-0.256370664,-0.219371821,-0.319319102,6.937982448,-0.172033184,-0.201139036,-0.218041947,-0.427793075,4.904140678,-0.227416518,-0.299293197,-0.183762062,-0.25879572,7.943868174,-0.219603053,-0.284223813,-0.290460122,-0.089040413,5.044916374,-0.156102058,-0.186563088,-0.234787618,-0.423402423,4.048747247,-0.154632942,-0.210617559,-0.171388947,-0.436819397,5.610633104,-0.188373987,-0.277213103,-0.217658643,-0.275993366,7.238922018,-0.090453566,-0.159814029,-0.168163636,-0.5948374,4.421924551
-0.166113018,-0.268084348,-0.243986496,-0.182521073,7.651252683,-0.238591881,-0.254068763,-0.231810006,-0.284445852,5.625584652,-0.066388372,-0.153423677,-0.25987174,-0.533815737,6.575014917,-0.250513837,-0.24076635,-0.213925535,-0.346240677,5.056788477,-0.232997843,-0.236427872,-0.286411367,-0.194373814,6.675016057,-0.180937514,-0.257392497,-0.224644895,-0.406631081,6.02128397,-0.16176277,-0.265469277,-0.223667603,-0.198855163,7.174187353,-0.276731153,-0.272454025,-0.26032728,-0.213040652,5.738927424,-0.005102463,-0.121167578,-0.228840461,-0.680686307,5.657180237,-0.239962539,-0.238019853,-0.200056619,-0.397792827,4.904076401,-0.231089563,-0.243187428,-0.286580202,-0.199902257,6.827957403,-0.119126733,-0.223252875,-0.198154129,-0.555084345,5.50491337
-0.341532875,-0.292874232,-0.287099251,-0.060511428,7.271479475,-0.282273629,-0.335859581,-0.18252118,-0.046926679,6.132246036,-0.333068998,-0.303456821,-0.22387504,-0.122901336,4.012101949,-0.230219126,-0.284512218,-0.257250609,-0.160811462,5.624778566,-0.233159602,-0.229948151,-0.190085382,-0.357902773,4.660646464,-0.20233428,-0.225110912,-0.252953065,-0.291301727,4.8567734,-0.33251461,-0.279775766,-0.280445157,-0.100958853,7.588583961,-0.303951648,-0.365754754,-0.187900292,0.064827956,6.50337331,-0.283951272,-0.280585003,-0.19006331,-0.249448764,3.547225463,-0.229807311,-0.293324685,-0.252476705,-0.149911093,5.652988855,-0.235586314,-0.232418955,-0.178299288,-0.345370251,4.6264263,-0.144600875,-0.204857268,-0.216976521,-0.414659229,4.542131129
-0.202920006,-0.230885479,-0.339150796,-0.214765941,5.771938249,-0.245263434,-0.278728855,-0.262674127,-0.183263857,5.717735429,-0.081576051,-0.222067588,-0.192610202,-0.450972866,6.520835175,-0.261762394,-0.193425617,-0.269850744,-0.345190609,4.838982288,-0.367729471,-0.262368359,-0.26346771,-0.109186039,4.795767261,-0.176746231,-0.183180468,-0.271032019,-0.40497004,5.248835778,-0.245886795,-0.247591408,-0.397624428,-0.102425289,6.929976977,-0.267375276,-0.314621459,-0.277156566,-0.140189346,6.652063542,-0.051226491,-0.207877188,-0.168986448,-0.540718345,6.1030359,-0.274076836,-0.199030677,-0.282907814,-0.331272961,4.990397605,-0.363939401,-0.266127993,-0.256986989,-0.11336097,4.931184703,-0.120727986,-0.137618936,-0.240921718,-0.543522116,4.78361727
-0.391367594,-0.287975535,-0.286033131,-0.044783948,4.04702131,-0.060443564,-0.204664655,-0.195212719,-0.482231929,6.563047567,-0.223312998,-0.236529882,-0.233484377,-0.294790655,5.421608815,-0.140846035,-0.220466646,-0.210589377,-0.402112828,6.299460635,-0.257526035,-0.240561187,-0.320257682,-0.208616497,5.442644156,-0.205607697,-0.21651087,-0.266957116,-0.259590944,5.728336943,-0.389163827,-0.275282269,-0.29003662,-0.041726129,3.907189976,-0.025413878,-0.223467657,-0.167701059,-0.552536891,6.894649055,-0.157822928,-0.204491632,-0.199625139,-0.432124085,4.931008255,-0.137248481,-0.226990777,-0.206861457,-0.404649928,6.335292879,-0.275994951,-0.259116958,-0.340281265,-0.14616746,5.799361153,-0.136234725,-0.178004678,-0.22243096,-0.4275065,4.959581958
-0.157048424,-0.27087917,-0.221346385,-0.383272977,4.668420359,-0.147066466,-0.327515386,-0.132548319,-0.404525127,5.156722483,-0.261151722,-0.240018355,-0.258997508,-0.296180204,6.361300841,-0.255330928,-0.296496935,-0.242485522,-0.228864261,6.115741611,-0.154067663,-0.234273364,-0.229838733,-0.385127222,4.412989827,-0.259590281,-0.212926504,-0.257188291,-0.265800406,4.373844184,-0.162304264,-0.298784586,-0.202045535,-0.379566384,4.713297379,-0.137339445,-0.355363539,-0.116872083,-0.385083951,5.379112074,-0.220372676,-0.223686445,-0.210927066,-0.421059294,5.795656358,-0.241389486,-0.289663531,-0.232249087,-0.266388972,6.068400085,-0.140366577,-0.21873693,-0.229570864,-0.414368061,4.389813873,-0.211112275,-0.173013424,-0.235661878,-0.385943299,4.020918438
-0.323191831,-0.257134807,-0.266231766,-0.185278756,4.827767988,-0.282330849,-0.236626562,-0.231458323,-0.371882835,3.439357397,-0.348176264,-0.267274224,-0.239668243,-0.196959,3.800779041,-0.176629582,-0.21489329,-0.257155477,-0.389735397,5.473818126,-0.231135146,-0.257881631,-0.250384652,-0.223627063,5.243729429,-0.16629069,-0.197603468,-0.255091444,-0.303002151,5.115698781,-0.354330825,-0.267524511,-0.283958712,-0.130477723,5.252318356,-0.320296109,-0.285288621,-0.212971219,-0.319329619,3.485501525,-0.275409347,-0.239944263,-0.189845987,-0.323669072,3.383428634,-0.15231927,-0.199918892,-0.254916477,-0.44623539,5.525272132,-0.263193185,-0.282796702,-0.259263546,-0.167639503,5.282799688,-0.127968235,-0.16818903,-0.217858998,-0.414015427,4.569679791
-0.234744199,-0.298290208,-0.204788535,-0.17429663,5.71522372,-0.354508396,-0.313360307,-0.256895437,-0.072003448,4.343342118,-0.092287896,-0.192781911,-0.283514492,-0.398165772,5.333015983,-0.17361599,-0.226683249,-0.230594756,-0.415325176,5.077610789,-0.262904631,-0.26324599,-0.216206511,-0.269975762,5.131873766,-0.251065746,-0.203270279,-0.247860034,-0.279831245,5.08481417,-0.244220956,-0.320838986,-0.239297063,-0.105832703,6.396570338,-0.418906058,-0.379471136,-0.275023007,0.117277805,4.843239862,-0.043913617,-0.177936552,-0.238799097,-0.517553693,4.581627874,-0.172958656,-0.221340906,-0.234652558,-0.418056243,5.184588113,-0.278353544,-0.27581795,-0.210761229,-0.251390458,5.238024994,-0.207062825,-0.180134292,-0.205000392,-0.406956223,4.498712048
