MCCL,,,,,,,,,,Naïve,,,,,,,,,
hat_sd,,,,,sd,,,,,hat_sd,,,,,sd,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
0.070904211,0.036992496,0.037200531,0.134723519,0.679191835,-0.252780622,-0.23347515,-0.29512741,-0.266768301,4.981360264,0.05910426,0.026837341,0.030393591,0.091847383,0.513069623,-0.069840439,-0.169856373,-0.186508474,-0.585214677,4.499261444
0.061631576,0.035272869,0.033320281,0.107706037,0.579539913,-0.281040487,-0.257897517,-0.25970978,-0.177672163,4.681635432,0.058774242,0.028722001,0.022356903,0.093641554,0.579175381,-0.08173577,-0.216046065,-0.192227289,-0.516575638,4.699815251
0.066812487,0.03810677,0.038643087,0.114470637,0.770254814,-0.194690461,-0.221136513,-0.269179204,-0.344809518,5.657340587,0.061231005,0.0311537,0.027331236,0.095529357,0.473008717,-0.245333364,-0.212690388,-0.217612986,-0.344585509,4.061133251
0.064350664,0.031877141,0.040374869,0.111700329,0.729166036,-0.230414688,-0.237442612,-0.291741322,-0.247911851,5.190753864,0.0646359,0.027447145,0.026171745,0.106060961,0.499769814,-0.180153154,-0.181654023,-0.203495791,-0.38987945,4.134799948
0.075398473,0.036748855,0.034595372,0.129299674,0.602817053,-0.277558942,-0.211423447,-0.240841756,-0.296841199,4.761946769,0.0508073,0.027714897,0.02329629,0.075028049,0.517883676,-0.095852404,-0.170912204,-0.240264139,-0.550055294,4.852057731
0.079864514,0.038965743,0.036755383,0.130265134,0.644041053,-0.291481132,-0.243750188,-0.301732935,-0.258263304,4.586742392,0.058434112,0.026250704,0.025571677,0.096549555,0.582258619,-0.190124066,-0.22524155,-0.219587534,-0.344262147,5.439218193
0.079636195,0.032910469,0.045380171,0.136150406,0.569485787,-0.243765832,-0.25872028,-0.258461199,-0.246614284,4.290424143,0.056370764,0.025911645,0.029734314,0.089834822,0.477531881,-0.220113989,-0.220076687,-0.176640776,-0.39521765,3.910043517
0.068880289,0.036579618,0.041805443,0.117618622,0.784451479,-0.220682169,-0.19151411,-0.295937879,-0.263853542,5.846244019,0.064039173,0.027317663,0.029847077,0.097686653,0.448097629,-0.182228896,-0.201083024,-0.173946211,-0.411754221,3.97804208
0.071893206,0.032237394,0.037510543,0.136686513,0.985312762,-0.315964508,-0.310511953,-0.285091021,0.002543219,6.728330021,0.063124734,0.027402431,0.027081777,0.093921077,0.500063132,-0.125563141,-0.206531364,-0.163531997,-0.486427887,4.521704896
0.063367931,0.040223904,0.034377759,0.109959353,0.862959555,-0.248140825,-0.227486906,-0.290089473,-0.237930547,5.862917699,0.067333252,0.027935162,0.02788736,0.119557024,0.739222174,-0.222428426,-0.173602728,-0.183375766,-0.450690456,4.142577317
0.073147044,0.039021696,0.042100697,0.139167983,0.866536195,-0.18449925,-0.23142209,-0.279594641,-0.154489367,6.057048419,0.07053538,0.026895595,0.028548684,0.10246773,0.490464615,-0.081633391,-0.175684409,-0.143064465,-0.573793121,3.963106695
0.062995655,0.041369559,0.032994421,0.127796404,0.792138969,-0.264772085,-0.259098043,-0.273513936,-0.247676402,5.329219069,0.058844379,0.02745857,0.026983708,0.087509185,0.501143606,-0.245176435,-0.194156672,-0.206924346,-0.350001693,3.933133727
0.068002204,0.035529211,0.028460937,0.110345332,0.639103073,-0.154649806,-0.210604046,-0.171412057,-0.436813806,5.610917836,0.054575908,0.026331281,0.026839451,0.083375983,0.481966517,-0.090399305,-0.159793919,-0.16816464,-0.594920116,4.421707607
0.071222602,0.039453559,0.032628884,0.116724596,0.646704403,-0.239710143,-0.23789781,-0.200109776,-0.398048228,4.906320075,0.058003334,0.026731248,0.022163675,0.090079851,0.575531108,-0.11955679,-0.224469472,-0.197996925,-0.551627752,5.541766707
0.063440779,0.043640728,0.036103517,0.118002653,0.669279914,-0.229979874,-0.293478543,-0.252626666,-0.149482668,5.654513386,0.063216268,0.025154887,0.026441699,0.10043691,0.552827577,-0.144580031,-0.20487129,-0.216997467,-0.414681409,4.542144717
0.073232069,0.040963937,0.037093141,0.127448549,0.692956407,-0.274503095,-0.199176567,-0.283047045,-0.330490215,4.988029697,0.055117048,0.026422364,0.031101007,0.091013813,0.49125646,-0.120787126,-0.137561953,-0.240933322,-0.543654519,4.782788612
0.059404106,0.031629996,0.02917115,0.103038293,0.781788254,-0.137346882,-0.226960805,-0.206893721,-0.404625988,6.333780915,0.057515056,0.037942192,0.02749301,0.09989264,0.682287405,-0.136323085,-0.177991951,-0.222464388,-0.427436965,4.95897079
