MCCL1,,,,,MCCL2,,,,,Naive,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.023317436,-0.316953598,-0.160357778,-0.439641029,4.77355192117007,-0.302782471,-0.216877404,-0.313196971,-0.137391366,5.74892484810571,-0.175841013,-0.213695182,-0.209886828,-0.221070778,4.80209365924644
-0.420243942,-0.291411907,-0.381253813,0.0677926366680685,5.22820597121833,-0.413934206,-0.392488904,-0.306189049,-0.098077044,6.44910048834665,-0.116366251,-0.196262487,-0.26854857,-0.4137392,4.64249849470665
-0.361069626,-0.315032019,-0.231975407,-0.196278139,5.39125623771256,-0.306517042,-0.242034866,-0.197692175,-0.401518238,5.15768886445707,-0.212076665,-0.230723243,-0.172074259,-0.493309708,4.48619382878445
-0.404846912,-0.162845087,-0.254149444,-0.184649115,6.11060768806781,-0.276171447,-0.131687647,-0.237700983,-0.384193208,6.02301180194929,-0.181133818,-0.194116255,-0.291052152,-0.155029552,3.90641382604459
-0.510208837,-0.314732292,-0.367337522,0.0484311007959289,5.33347099249936,-0.074774522,-0.139520471,-0.241164845,-0.41355676,4.54653991532079,-0.141232987,-0.169657047,-0.286773801,-0.179731654,5.48828065916336
-0.32112448,-0.228386792,-0.311625758,0.0811296878773824,5.52183383321977,-0.243333608,-0.190784112,-0.255613774,-0.174893441,5.4698016972468,-0.121221683,-0.099101356,-0.213989208,-0.862368216,5.4676130607613
-0.356893716,-0.270805083,-0.214171852,-0.289839631,6.34080894059596,-0.521897688,-0.367255718,-0.376532904,0.0222266952010036,6.33692129202689,-0.236533495,-0.21841915,-0.226424697,-0.368862884,4.78347675715695
-0.620161957,-0.344527532,-0.356235502,0.281156513064469,6.35696213097327,-0.442280684,-0.301271549,-0.324189601,-0.239842136,5.13504713930638,-0.12839296,-0.262656035,-0.199805545,-0.402469686,4.96985618515702
-0.162261227,-0.22940208,-0.154227843,-0.160719563,4.88203755705477,-0.348915833,-0.364263646,-0.194741561,-0.395333747,5.62356531465059,-0.179960983,-0.20060389,-0.21713471,-0.463616083,4.32992223227689
-0.371501363,-0.215532346,-0.341401256,0.109767981555448,4.84635507090109,-0.451481031,-0.372246779,-0.320713713,-0.372881746,5.60190417464943,-0.303770376,-0.226330885,-0.355144459,0.0745407984901621,4.9055748009681
-0.203542199,-0.256354987,-0.182134149,-0.35624026,5.21217739883292,-0.175962684,-0.26433549,-0.202329712,-0.27087265,4.59387118306791,-0.135796289,-0.221951033,-0.189364601,-0.38960707,4.25514962929806
-0.484801732,-0.297969193,-0.361755526,0.0555035662366866,5.8723581991824,-0.215681767,-0.247218821,-0.199896152,-0.333453295,5.0344885700226,-0.183428551,-0.324105506,-0.10166915,-0.538155344,5.34026856883573
0.0366523374956529,-0.150401047,-0.118623148,-0.74807495,5.50219328733824,-0.323595132,-0.220911565,-0.360645252,-0.190014977,5.13071275881727,-0.524264088,-0.241458068,-0.390170913,0.0877801157872273,4.57316141137873
-0.37243259,-0.287641236,-0.310092398,-0.054986,5.38875960092141,-0.526588927,-0.285984236,-0.403080235,-0.228919237,6.97481908028865,-0.160333151,-0.317611597,-0.20887054,-0.463283953,4.22721436671049
-0.502198638,-0.28252529,-0.310155044,0.153156986764526,6.233134839,-0.16514378,-0.244772458,-0.203138381,-0.441002898,4.66736723917578,-0.434232196,-0.335478473,-0.304248738,-0.065905099,5.71418034305316
-0.520985538,-0.402690088,-0.25945744,-0.013230118,6.7193826323337,-0.215878298,-0.21604199,-0.193048966,-0.399919966,6.64870036978669,-0.254979008,-0.30352403,-0.15187306,-0.032453645,5.59847832548813
0.0240554677194028,-0.167501548,-0.232244113,-0.510656611,5.1908682945702,-0.100580546,-0.235855941,-0.183546914,-0.43707663,5.12105505599719,-0.411143554,-0.274277627,-0.245965054,-0.337737196,5.46743275683631
-0.615006869,-0.338910033,-0.356487508,0.3516072019685,5.48708971854677,-0.002539628,-0.106109816,-0.192006478,-0.407921225,4.4982972172701,-0.322620682,-0.295021796,-0.305978926,-0.085077213,4.67841660097455
-0.214073276,-0.238181152,-0.143877564,-0.452052429,4.91868857381735,-0.183721345,-0.145321883,-0.26342023,-0.05902025,4.7014298807325,-0.235823681,-0.293050892,-0.231620792,-0.246139911,4.75217417310006
-0.429792698,-0.26873378,-0.328279294,-0.040680641,5.97724345443207,-0.297524505,-0.326830025,-0.273810648,-0.2597073,5.02202068887366,-0.304062848,-0.195986146,-0.291596828,-0.23262089,4.65539590235784
-0.204097657,-0.287820269,-0.30838495,-0.294078623,4.16035376889075,-0.3676831,-0.312480059,-0.265064331,-0.188573309,6.86588516070724,-0.462549472,-0.309576299,-0.268226042,0.0482936420991322,5.62426144472113
-0.355306342,-0.270414893,-0.192573008,-0.408052405,5.66037953033332,-0.334941145,-0.31511196,-0.215326324,-0.347762638,6.50558586242687,-0.180944537,-0.21747519,-0.206694206,-0.385319293,6.12261405975634
-0.072039257,-0.158781228,-0.16204503,-0.521629109,4.75603247233714,-0.538292812,-0.24671745,-0.483550538,0.0595595854246871,5.94340126814475,-0.623563358,-0.379157228,-0.352596233,-0.032298015,5.68858858954361
-0.132100738,-0.264707896,-0.198858063,-0.184251679,4.63577654354377,-0.426184483,-0.318572781,-0.289481391,-0.114717778,4.7667913115968,-0.251290149,-0.199614122,-0.246957903,-0.231886084,4.42405140140731
-0.417973578,-0.30423158,-0.271025643,-0.217127544,5.40784594659995,-0.559540999,-0.526272415,-0.242730691,0.173714100165446,4.95275628671169,-0.097576018,-0.288624076,-0.198286894,-0.273317775,5.00000833207693
-0.246699293,-0.239240973,-0.314723288,-0.017703602,4.42651288886717,-0.396336191,-0.27589516,-0.269624049,0.0110417527499698,5.31964986847752,-0.174565515,-0.320273741,-0.141662491,-0.514196618,4.96677922091221
-0.021287002,-0.143859419,-0.222010464,-0.707413708,5.72688665952028,-0.272720092,-0.195687645,-0.283470879,-0.296299263,5.35288782399831,-0.462396472,-0.304075306,-0.279780394,-0.111768071,5.34393691950582
-0.404203722,-0.21366345,-0.455583668,0.122325375292333,5.57768372801425,-0.236321769,-0.205870965,-0.29252799,-0.361396598,5.42155511756115,-0.117172072,-0.188578923,-0.197938756,-0.462133974,5.45315481191664
-0.3798331,-0.273808202,-0.280373665,-0.351537861,6.15464639613904,-0.046665916,-0.170999629,-0.12610446,-0.503802567,5.17417756419368,-0.097092902,-0.202413663,-0.255782338,-0.455415057,4.70965212099274
-0.279790444,-0.169434007,-0.259157531,-0.550299012,6.3318186009121,-0.367951466,-0.37782939,-0.227398209,-0.231257561,5.40108670374432,-0.248364092,-0.276708907,-0.252896255,-0.222203625,4.95206349855275
-0.42049939,-0.377685735,-0.256943027,-0.342074445,4.98493118175941,-0.099287696,-0.15188652,-0.296062696,-0.390612165,4.90630283961122,-0.365538327,-0.219488311,-0.294271213,-0.187672934,5.06451592131311
-0.356242651,-0.259963985,-0.294182928,-0.384942263,5.17522156613774,-0.407335775,-0.233678849,-0.408343943,0.0337330880166434,4.64264008005005,-0.247126533,-0.286601373,-0.206974223,-0.27106033,4.27900675955429
-0.327607963,-0.313143309,-0.136752519,-0.43708084,5.57484050212972,-0.315103185,-0.242710811,-0.266530035,-0.543056653,4.82835850626817,-0.288010183,-0.276630391,-0.25966449,-0.17842135,4.48788018366237
-0.170434983,-0.14453965,-0.226948568,-0.373673043,4.81084869939943,-0.188907119,-0.233204811,-0.260823737,-0.293253275,4.24369509713969,-0.013853364,-0.185204324,-0.190181553,-0.608957622,4.99231792912472
-0.351297839,-0.315538186,-0.22982628,-0.476441576,4.98615907378477,-0.102303394,-0.296778448,-0.173848217,-0.395679057,4.72796252251737,-0.31275754,-0.321319784,-0.240366141,-0.287088931,5.47179359413536
-0.181128476,-0.283949555,-0.212645317,-0.526218809,5.11843052286052,-0.339251976,-0.31177667,-0.2965201,-0.154284876,4.4826821826737,-0.176828175,-0.209096068,-0.228797715,-0.525738907,6.09971097467105
-0.192619156,-0.274844733,-0.23346429,-0.337645153,5.14944188090919,-0.338926523,-0.266214817,-0.305523008,-0.166413841,5.83282870300528,-0.07755652,-0.213911337,-0.164559814,-0.477319526,5.14013702801026
-0.354536142,-0.297600525,-0.28679346,-0.423403976,5.77664355177068,-0.133824966,-0.335444371,-0.178002081,-0.283801168,4.52188129119225,-0.127866861,-0.2012576,-0.145524952,-0.406024753,4.76004319796852
-0.320305335,-0.286818098,-0.181540193,-0.183533723,6.5045666729285,-0.139243279,-0.175234103,-0.208298764,-0.408174451,6.0575355259419,-0.090138732,-0.239415754,-0.160006842,-0.419337931,4.72031364825287
-0.559360599,-0.439169518,-0.188265054,0.078576865980807,5.9044583051083,-0.297966483,-0.095238899,-0.361985236,-0.358107701,5.55586245996344,-0.142117149,-0.17336138,-0.272787949,-0.407942122,5.51244646609619
