MCCL,,,,,,,,,,Naive,,,,,,,,,
hat_sd,,,,,sd,,,,,hat_sd,,,,,sd,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
0.148858217875719,0.0754796884774405,0.0605641046585255,0.206213632077502,0.608770298986804,-0.3586543,-0.313844004,-0.373706053,0.108000274531559,5.11932446867077,0.138320194943261,0.0665888200088933,0.0473960116291766,0.233072184603021,0.552987792707652,-0.162141707,-0.269267244,-0.109955489,-0.291000306,4.6949312056852
0.136967214076864,0.0611762393180779,0.0840056809892482,0.258908496292979,0.606017698347443,-0.02102378,-0.12945974,-0.198932933,-0.608172873,5.1213194253024,0.118085747173525,0.0571098840036224,0.0553333644627346,0.232189240760531,0.635209233205947,0.0682269095220361,-0.059579593,-0.177947064,-0.778107168,4.90323830537621
0.129288208362971,0.0730262267423045,0.0793118010512882,0.232170222606183,0.564014272775943,-0.294227649,-0.229881967,-0.222993423,-0.139861769,5.33810232476814,0.126385595096866,0.0507237516010419,0.0563576565661017,0.224289674638202,0.597235723894655,-0.12806369,-0.224592953,-0.213780836,-0.27513619,5.16207159750854
0.135082690039696,0.0707655949080591,0.0707661581808284,0.23909299564289,0.824411652353431,-0.228347237,-0.290663727,-0.279909661,-0.672278607,6.51946042658415,0.177334226572775,0.0623332053674563,0.0831473796654465,0.276313983509309,0.461499716226583,-0.261526684,-0.214419058,-0.265902403,-0.292219325,4.23504848727996
0.134878695348448,0.0610543536825654,0.063952171634565,0.212170896556928,0.490210475905929,-0.173049356,-0.121041749,-0.294909778,-0.311406052,4.8672024036788,0.124823533450197,0.0536063832452844,0.0485305120731792,0.205255917204766,0.628355283704725,-0.443990878,-0.357498444,-0.162235711,0.0419229109813428,5.75346228142758
0.188276233225418,0.101433409116171,0.0921015029582039,0.3108609085704,0.69157631483397,-0.469931101,-0.289932175,-0.390423997,-0.078868061,5.59804997344404,0.146194568246006,0.0707121072055352,0.0740983643931579,0.236974303327081,0.461226895599591,0.0172130234177153,-0.167466792,-0.155566315,-0.544517041,4.26814349289324
0.174762700129613,0.0771320987309355,0.079326388385261,0.240301979934606,0.587390444779227,-0.394023798,-0.333815614,-0.305056064,-0.088285757,4.87169378865133,0.139264645809062,0.0538302288807145,0.0588350456804369,0.255425095553025,0.617089492053926,-0.366804171,-0.289926006,-0.175868717,-0.211420634,4.84822593250961
0.213297098096396,0.0988002445240797,0.0988848285855631,0.31102037830365,0.829244846158212,-0.502182806,-0.330088877,-0.292932111,-0.526945954,6.93885449662082,0.150427256587889,0.0728094211089268,0.0622883635441605,0.253400167548766,0.583068823825783,-0.021311347,-0.102917257,-0.184269845,-0.99659913,5.22151249884969
0.157039976551735,0.0854503439607813,0.10338745266806,0.230117709095928,0.465184595283796,-0.113119788,-0.308877264,-0.20742317,-0.407750655,4.47025058663324,0.176022367481696,0.0812738468552092,0.0756005569465469,0.290131579893973,0.641097416696315,-0.094680804,-0.16225609,-0.185372363,-0.773525603,4.87919852961216
0.157030591647675,0.0783928457903924,0.0719922618013282,0.336438237206616,0.707942903942975,-0.040011706,-0.064901776,-0.31872078,-0.89103802,5.88821638735382,0.132361555860665,0.0614589464213434,0.0695154651579352,0.261145734924884,0.673292303394705,-0.182781331,-0.189827505,-0.136233015,-0.43761005,5.27007815777336
0.21400596678392,0.0949194004321356,0.0869707450212513,0.356970785319548,0.559519677296692,-0.34933406,-0.257300387,-0.275212008,-0.237861431,5.4733838768065,0.14809026220045,0.0649385340402937,0.0752214748858396,0.25197351085128,0.543428854923938,-0.28687674,-0.25877455,-0.168453435,-0.464757605,4.69319763506003
0.161946386523244,0.0888555663943156,0.0664971056276786,0.23903995995205,0.641851826276633,-0.186343371,-0.187519539,-0.225511182,-0.244316275,5.01917027973788,0.106907884565748,0.0526205015199413,0.0584076038168969,0.199527610864961,0.593626765910611,0.0336651906250892,-0.30313825,-0.118441235,-0.659948865,5.04913554061014
0.145232077918769,0.0759314182995145,0.0587001507825216,0.236462792193698,0.483435603162892,-0.196508338,-0.287927928,-0.247591539,-0.172624535,4.09176671616949,0.140681694313219,0.059916089693102,0.0574179889891829,0.209056875958521,0.552341418355783,-0.144102182,-0.225088938,-0.105966521,-0.372367584,4.74262404892222
0.233036808143855,0.0910950632229558,0.121564322181534,0.38959881898656,0.634918731576882,-0.28038593,-0.33960675,-0.159327939,-0.215452836,4.96525701800771,0.139108701515787,0.0644346068484166,0.0557593305788269,0.250103182343373,0.620653998345898,-0.470639648,-0.271422089,-0.287772452,-0.163523221,5.78218678131803
