MCCL1,,,,,MCCL2,,,,,Naïve,,,,
beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi,beta0,beta1,beta2,beta3,phi
-0.211855657,-0.221212669,-0.232832525,-0.334031843,4.742472563,-0.295219298,-0.264695739,-0.244157526,-0.26065383,4.10622273,-0.222040395,-0.271144929,-0.25061771,-0.259173771,4.784877364
-0.144023168,-0.189212584,-0.269013875,-0.346612294,6.050939133,-0.301823934,-0.208737925,-0.291570595,-0.209497222,5.620169601,-0.115493561,-0.206962404,-0.151379376,-0.444337282,5.559470446
-0.167693231,-0.245513197,-0.213867045,-0.343717609,5.555041244,-0.301646092,-0.324691482,-0.265006353,-0.079513486,5.401244651,-0.167895127,-0.190247616,-0.243852753,-0.368551392,4.851741917
-0.295715731,-0.276411282,-0.278957432,-0.115752029,5.254006283,-0.303493404,-0.268441626,-0.281150253,-0.059334582,5.645060883,-0.298983198,-0.262850579,-0.243264356,-0.23633487,4.848101402
-0.281637004,-0.280379029,-0.282780299,-0.11987373,4.66812937,-0.283867183,-0.194647554,-0.288045815,-0.192336875,5.815944454,-0.26281445,-0.227151827,-0.294274813,-0.188605598,4.947007293
-0.352953897,-0.245113637,-0.293875797,-0.099775183,4.826386809,-0.239780601,-0.277759439,-0.213351098,-0.246644171,5.400858494,-0.258344126,-0.244273504,-0.251305054,-0.291769085,5.149287044
-0.191527447,-0.229969488,-0.204869198,-0.402580731,5.095072631,-0.360415785,-0.255921387,-0.299490148,-0.049916472,5.170336624,-0.217194493,-0.191061911,-0.225849185,-0.360715218,5.223511259
-0.157276824,-0.225008695,-0.210935587,-0.359782512,4.895616256,-0.291570658,-0.230282058,-0.230670768,-0.331491505,5.110657802,-0.233266734,-0.262890219,-0.238219353,-0.294933951,5.589105964
-0.280380473,-0.284677249,-0.240403974,-0.185789221,5.167657895,-0.262567263,-0.23063453,-0.299575858,-0.137252697,6.214008645,-0.202582889,-0.232445302,-0.24115093,-0.259010342,6.874014065
-0.239443895,-0.229131932,-0.271894224,-0.242412764,4.823506002,-0.238612074,-0.266562131,-0.222286297,-0.231537275,4.745440502,-0.175430895,-0.270607588,-0.193841972,-0.328642216,5.533919198
-0.1916369,-0.238937858,-0.230948485,-0.355127483,5.791603527,-0.254630021,-0.234791376,-0.353497883,-0.104461913,5.707938923,-0.219630208,-0.200611337,-0.223559232,-0.382364532,4.974146211
-0.1863324,-0.268454301,-0.222505133,-0.333237286,5.528688512,-0.321324759,-0.295952226,-0.258398297,-0.151086217,4.838292229,-0.141303104,-0.247368089,-0.22654323,-0.390420194,6.11739609
-0.223698126,-0.200497804,-0.21277746,-0.370220346,4.921692136,-0.241580752,-0.240455461,-0.234465527,-0.248526375,3.967477064,-0.188493695,-0.22614588,-0.288468066,-0.272119414,4.726136248
-0.310978616,-0.288374141,-0.299730455,-0.156244831,5.222196452,-0.290027875,-0.203521134,-0.271628173,-0.229007154,4.37390491,-0.167233182,-0.225746692,-0.202275847,-0.413837695,5.250687935
-0.230474458,-0.234494616,-0.236343856,-0.274596369,5.175678036,-0.240041563,-0.249399855,-0.264688034,-0.164582909,5.572854853,-0.230099594,-0.24752223,-0.266574961,-0.245756788,5.380369447
-0.254687578,-0.256650943,-0.227197848,-0.221780193,5.934077753,-0.338305302,-0.278604922,-0.272123998,-0.153795069,4.264567147,-0.291418616,-0.238314072,-0.23230905,-0.214742124,4.803125611
-0.329913183,-0.247558798,-0.289652657,-0.141107343,4.96216882,-0.184299084,-0.210062283,-0.334268575,-0.233622102,6.596649495,-0.278034249,-0.248688895,-0.221532788,-0.263392008,3.729869345
-0.312147153,-0.246732602,-0.312073913,-0.004575897,5.493354606,-0.19258944,-0.280338004,-0.204414699,-0.29279497,6.103217143,-0.21747568,-0.239247252,-0.226114699,-0.306530865,4.793384583
-0.317766161,-0.248154348,-0.298684544,-0.147785135,5.921798682,-0.22327694,-0.245787397,-0.223562305,-0.311519762,3.825581571,-0.138869625,-0.233448465,-0.222427259,-0.460517959,5.652259763
-0.202472101,-0.16468346,-0.227157868,-0.397797493,4.994781163,-0.257094254,-0.192710147,-0.24711755,-0.278216842,3.813561028,-0.255965289,-0.243442287,-0.231835423,-0.252400902,4.39884847
-0.356572289,-0.211413067,-0.267692912,-0.171331089,4.424398019,-0.204908009,-0.274364021,-0.236695205,-0.308980843,5.217380235,-0.257761942,-0.264765063,-0.247778741,-0.285452476,4.7659465
-0.214884145,-0.223549797,-0.214804673,-0.3658116,4.916655184,-0.228914067,-0.210600105,-0.257237944,-0.27691434,5.632930184,-0.236901811,-0.23770025,-0.205027063,-0.32517219,4.328584633
-0.222266871,-0.255567774,-0.224794938,-0.271379928,5.150135843,-0.226453608,-0.261551166,-0.296586561,-0.194896288,5.478126738,-0.256413325,-0.238506864,-0.278029097,-0.193500975,4.451395891
-0.160147418,-0.283106785,-0.2371406,-0.317754692,5.85753277,-0.222595288,-0.272499994,-0.21931012,-0.251241806,6.248556657,-0.232187986,-0.238473605,-0.213845781,-0.376581068,3.924255162
